Advice,SetGoals,PayFullCC,Own,agecat,region,ABSORBSHOCK
Little,Disagree,Sometimes,Agree,45to54,South,ProbablyNot
Completely,StronglyAgree,Often,Neutral,35to44,MW,Certain
Somewhat,StronglyAgree,Always,Disagree,45to54,NE,Certain
Completely,StronglyAgree,Always,Disagree,55to61,W,Certain
Well,Agree,Seldom,Neutral,70to74,NE,Certain
Little,Agree,Sometimes,NoWay,35to44,NE,Probably
Well,Neither,Always,Neutral,18to24,NE,Certain
Somewhat,Disagree,Always,Absolutely,45to54,MW,Probably
Completely,Neither,Always,Neutral,62to69,MW,Certain
Not,Agree,NAorNever,Agree,70to74,NE,CouldNot
Well,Agree,Always,NoWay,62to69,South,Certain
Somewhat,Agree,NAorNever,Neutral,25to34,W,Certain
Somewhat,Neither,Often,Neutral,62to69,NE,Probably
Completely,Agree,Often,Neutral,75up,MW,Certain
Completely,Neither,Always,Neutral,75up,NE,Certain
Well,Neither,Always,Disagree,55to61,MW,Certain
Somewhat,Disagree,Always,Disagree,75up,W,Certain
Completely,StronglyDisagree,Seldom,Neutral,62to69,W,Certain
Well,Agree,Always,Agree,18to24,MW,Probably
Completely,Agree,Always,Neutral,75up,South,Certain
Well,Neither,Always,Disagree,70to74,MW,Certain
Well,Agree,Always,Neutral,62to69,South,Certain
Well,Agree,Sometimes,Agree,25to34,MW,Certain
Somewhat,Neither,Always,Neutral,62to69,W,Certain
Completely,Disagree,Always,Neutral,62to69,MW,Certain
Somewhat,Neither,NAorNever,Neutral,62to69,NE,DontKnow
Well,Neither,Sometimes,Neutral,25to34,South,Probably
Somewhat,Agree,NAorNever,Disagree,45to54,NE,Certain
Well,Disagree,Sometimes,Neutral,62to69,South,CouldNot
Somewhat,Agree,Always,Agree,35to44,South,Certain
Completely,StronglyAgree,Often,NA,62to69,W,Certain
Well,Agree,Sometimes,Disagree,35to44,South,Certain
Well,Agree,Always,Disagree,45to54,South,Probably
Well,Agree,Sometimes,Neutral,35to44,South,Probably
Well,Agree,Often,NA,62to69,W,Certain
Well,Neither,Always,Neutral,62to69,South,Certain
Somewhat,Neither,Always,Agree,35to44,NE,Certain
Well,Agree,Often,Neutral,55to61,W,Probably
Well,Agree,Always,Neutral,70to74,MW,Certain
Somewhat,Neither,Seldom,Neutral,75up,NE,CouldNot
Somewhat,Neither,Often,Agree,18to24,South,Probably
Little,Agree,NAorNever,Neutral,45to54,MW,CouldNot
Little,Agree,Seldom,Agree,55to61,South,DontKnow
Not,Neither,Always,Agree,35to44,NE,Certain
Well,Agree,Always,Neutral,62to69,South,Certain
Well,Agree,Always,Neutral,55to61,W,Certain
Somewhat,Agree,Often,Disagree,35to44,South,Certain
Little,Neither,Sometimes,Agree,75up,South,Certain
Well,StronglyAgree,Always,Neutral,62to69,NE,Certain
Somewhat,StronglyAgree,Always,NoWay,35to44,South,Certain
Well,Agree,Often,Neutral,45to54,W,Certain
Well,StronglyAgree,Always,Neutral,62to69,South,Certain
Completely,Agree,NAorNever,Disagree,18to24,NE,CouldNot
Completely,StronglyAgree,Sometimes,NoWay,62to69,South,Certain
Well,Disagree,NAorNever,Neutral,75up,W,CouldNot
Little,Neither,Sometimes,Disagree,45to54,NE,CouldNot
Somewhat,Neither,Sometimes,Absolutely,25to34,South,DontKnow
Well,Agree,Always,Agree,75up,MW,Certain
Somewhat,Neither,Always,Disagree,62to69,South,Certain
Somewhat,StronglyAgree,Always,Neutral,62to69,South,Certain
Somewhat,Agree,Often,Neutral,18to24,South,ProbablyNot
Somewhat,Disagree,NAorNever,NA,35to44,W,CouldNot
Well,Agree,Always,Agree,35to44,W,Certain
Well,Agree,Always,Agree,75up,W,Certain
Somewhat,Agree,Sometimes,Disagree,35to44,NE,Probably
Completely,Agree,Sometimes,Agree,35to44,South,Certain
Somewhat,Agree,Always,Agree,70to74,W,CouldNot
Somewhat,Agree,Always,Neutral,35to44,MW,Probably
Completely,StronglyAgree,Always,Disagree,55to61,MW,Certain
Well,Agree,NAorNever,Agree,62to69,MW,Certain
Well,Agree,Always,Disagree,75up,MW,DontKnow
Well,Disagree,Seldom,Neutral,35to44,South,Probably
Little,Agree,Sometimes,Agree,45to54,W,Probably
Somewhat,Agree,Often,Neutral,45to54,NE,Certain
Somewhat,Disagree,Seldom,Agree,18to24,South,CouldNot
Completely,StronglyAgree,Always,NoWay,35to44,MW,Certain
Well,StronglyAgree,NAorNever,NoWay,18to24,South,CouldNot
Not,Neither,Sometimes,Neutral,45to54,NE,CouldNot
Well,Agree,Always,Neutral,55to61,MW,Certain
Somewhat,Neither,Often,Neutral,62to69,MW,Probably
Somewhat,Disagree,NAorNever,Agree,35to44,NE,CouldNot
Somewhat,Agree,Always,Agree,45to54,NE,Probably
Completely,Agree,Often,Disagree,35to44,NE,Certain
Somewhat,Agree,Always,Disagree,25to34,South,CouldNot
Well,Agree,Always,NoWay,75up,NE,Certain
Well,Neither,Often,Neutral,75up,South,Certain
Well,StronglyAgree,Always,Agree,55to61,South,Certain
Somewhat,Agree,Always,NoWay,45to54,MW,Certain
Little,Agree,Sometimes,Agree,70to74,NE,Probably
Little,Agree,Sometimes,Agree,35to44,South,ProbablyNot
Well,Agree,Often,Disagree,25to34,MW,Certain
Little,Disagree,Seldom,Disagree,45to54,NE,Probably
Somewhat,Agree,Often,Neutral,25to34,South,CouldNot
Somewhat,Disagree,NAorNever,Neutral,70to74,MW,Probably
Well,Neither,Seldom,Neutral,35to44,South,ProbablyNot
Well,Agree,Always,Neutral,70to74,NE,Certain
Well,Agree,Seldom,Agree,62to69,South,CouldNot
Not,Agree,Always,Disagree,62to69,South,Certain
Somewhat,Neither,NAorNever,Agree,25to34,South,CouldNot
Somewhat,Neither,Often,Neutral,55to61,MW,Certain
Somewhat,Agree,Always,Agree,62to69,South,Certain
Completely,Disagree,Often,Neutral,35to44,W,Certain
Not,Disagree,NAorNever,NoWay,25to34,NE,CouldNot
Well,Agree,Always,Neutral,62to69,MW,Certain
Completely,Agree,Sometimes,NoWay,55to61,South,Probably
Well,Neither,Often,NA,25to34,MW,Certain
Well,Agree,Always,Agree,45to54,W,Certain
Well,Agree,Often,Neutral,45to54,MW,DontKnow
Somewhat,Disagree,NAorNever,Disagree,55to61,South,ProbablyNot
Completely,StronglyAgree,Always,NoWay,75up,MW,Certain
Well,Agree,Always,Disagree,45to54,MW,Certain
Well,Agree,NAorNever,Neutral,25to34,MW,Certain
Completely,StronglyAgree,Always,Neutral,25to34,W,Certain
Somewhat,Neither,NAorNever,Neutral,45to54,NE,Certain
Well,Neither,Sometimes,Agree,25to34,MW,Certain
Well,StronglyAgree,Always,Neutral,62to69,South,Certain
Somewhat,StronglyAgree,Always,NoWay,62to69,South,Certain
Little,Agree,Always,Neutral,25to34,South,ProbablyNot
Somewhat,Neither,Often,NoWay,45to54,MW,Probably
Somewhat,Agree,NAorNever,Agree,55to61,MW,ProbablyNot
Little,Agree,Seldom,Neutral,45to54,South,ProbablyNot
Well,Agree,Always,NoWay,35to44,South,Certain
Well,Agree,Always,Neutral,75up,NE,Certain
Somewhat,Neither,Always,Agree,70to74,NE,Certain
Not,Disagree,Often,Absolutely,55to61,South,CouldNot
Completely,Agree,Always,Neutral,45to54,NE,Certain
Completely,StronglyAgree,Always,NoWay,35to44,NE,Certain
Completely,StronglyAgree,Always,Agree,35to44,South,Certain
Little,Neither,Always,Neutral,75up,South,Certain
Somewhat,Disagree,Always,Disagree,35to44,W,Certain
Completely,StronglyAgree,Always,Neutral,75up,South,Certain
Little,StronglyAgree,Seldom,Disagree,55to61,W,Certain
Not,StronglyAgree,Seldom,NoWay,45to54,MW,CouldNot
Well,Agree,Always,Disagree,75up,MW,Certain
Somewhat,Neither,Always,Neutral,45to54,W,Certain
Completely,Disagree,Always,Neutral,70to74,South,Certain
Well,Agree,Always,Agree,45to54,MW,Certain
Little,Agree,Always,Neutral,62to69,South,Certain
Completely,Disagree,Always,Agree,55to61,NE,Certain
Well,StronglyAgree,Often,Disagree,45to54,W,Certain
Well,Disagree,Seldom,Neutral,45to54,MW,Probably
Somewhat,Neither,Always,Neutral,70to74,MW,Certain
Well,Agree,Seldom,Neutral,45to54,NE,Certain
Completely,StronglyAgree,Always,Agree,62to69,MW,Certain
Somewhat,Neither,Sometimes,Agree,18to24,South,Probably
Well,Agree,Seldom,Neutral,55to61,South,Certain
Completely,Agree,Often,Neutral,25to34,NE,Certain
Well,Agree,Always,Neutral,55to61,MW,Certain
Little,Disagree,Always,Disagree,45to54,South,Certain
Little,StronglyDisagree,NAorNever,Disagree,75up,NE,CouldNot
Well,Agree,Always,Disagree,45to54,South,Certain
Little,Neither,Seldom,Neutral,35to44,MW,DontKnow
Well,Agree,Sometimes,Agree,70to74,South,Probably
Completely,StronglyAgree,Always,NA,18to24,South,DontKnow
Well,Agree,NAorNever,Agree,62to69,W,Certain
Somewhat,Neither,Always,Neutral,75up,South,ProbablyNot
Somewhat,Agree,Often,NoWay,55to61,South,Certain
Well,Neither,NAorNever,Agree,45to54,NE,ProbablyNot
Well,Agree,Always,Neutral,35to44,South,Certain
Well,Agree,Always,Agree,62to69,NE,Certain
Completely,Agree,Sometimes,Agree,35to44,NE,Probably
Well,Agree,Always,Disagree,62to69,South,Certain
Well,Neither,Always,Disagree,62to69,W,Certain
Well,Agree,Always,NoWay,35to44,MW,Probably
Somewhat,Agree,Often,Disagree,25to34,South,Certain
Somewhat,Disagree,NAorNever,Disagree,55to61,South,Probably
Somewhat,StronglyAgree,Seldom,Neutral,62to69,South,Certain
Little,Agree,Seldom,Neutral,18to24,W,CouldNot
Little,StronglyDisagree,NAorNever,Agree,35to44,NE,Certain
Completely,Agree,Always,NoWay,62to69,NE,Certain
Completely,StronglyDisagree,Always,NoWay,62to69,W,Certain
Well,Neither,Always,Absolutely,62to69,W,Certain
Well,Agree,Always,Neutral,25to34,NE,Certain
Well,Neither,Always,Agree,75up,South,Certain
Somewhat,Agree,Always,Neutral,45to54,W,Certain
Well,Neither,Always,Agree,75up,South,Certain
Somewhat,Neither,Always,Agree,25to34,MW,Certain
Somewhat,Neither,Always,Neutral,45to54,W,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,South,DontKnow
Somewhat,StronglyAgree,Always,NoWay,25to34,South,Certain
Well,StronglyAgree,Often,Disagree,62to69,W,Certain
Somewhat,Neither,Sometimes,Disagree,62to69,NE,ProbablyNot
Well,Agree,Always,NA,75up,South,Certain
Well,Agree,Always,Disagree,75up,MW,Certain
Little,StronglyAgree,Always,Neutral,75up,South,Probably
Well,Disagree,NAorNever,NoWay,45to54,W,Probably
Well,Agree,Always,Neutral,55to61,W,Certain
Somewhat,StronglyAgree,Always,Neutral,55to61,NE,Certain
Somewhat,Neither,Always,Agree,55to61,South,Certain
Well,Agree,Always,NoWay,70to74,NE,Certain
Well,Agree,Always,Disagree,55to61,South,Certain
Somewhat,Agree,NAorNever,Neutral,62to69,South,Certain
Little,Disagree,Seldom,Agree,45to54,NE,Probably
Somewhat,Agree,NAorNever,Agree,25to34,MW,ProbablyNot
Somewhat,Neither,Sometimes,Neutral,75up,South,Certain
Well,Agree,Always,Agree,62to69,NE,Certain
Well,Agree,Always,Neutral,75up,South,Certain
Well,Neither,Always,Neutral,35to44,MW,Certain
Somewhat,Neither,NAorNever,Neutral,55to61,NE,CouldNot
Somewhat,Agree,Always,Agree,45to54,South,Certain
Somewhat,Neither,Always,Disagree,75up,South,Certain
Well,StronglyDisagree,Always,Disagree,70to74,MW,Certain
Well,Agree,Always,Neutral,18to24,NE,Certain
Little,Agree,Seldom,Agree,25to34,NE,Certain
Well,Agree,Always,NoWay,62to69,W,Certain
Well,Agree,Always,Neutral,75up,NE,Certain
Completely,StronglyAgree,Always,Agree,25to34,NE,Certain
Somewhat,Agree,Always,Neutral,70to74,W,Certain
Little,Agree,Often,Neutral,55to61,MW,Certain
Well,StronglyDisagree,Always,Agree,62to69,NE,Certain
Well,Neither,NAorNever,Neutral,70to74,South,Certain
Not,Disagree,NAorNever,Agree,62to69,South,CouldNot
Completely,StronglyAgree,Often,Neutral,25to34,W,Certain
Well,Agree,NAorNever,NoWay,45to54,NE,CouldNot
Somewhat,Neither,Always,Agree,45to54,South,Certain
Little,Neither,Sometimes,NoWay,45to54,MW,ProbablyNot
Somewhat,Disagree,Often,Neutral,62to69,W,Certain
Somewhat,Agree,Always,NoWay,45to54,South,Certain
Well,Agree,NAorNever,Disagree,45to54,South,Probably
Somewhat,Agree,Often,Neutral,45to54,W,DontKnow
Completely,StronglyAgree,Always,Neutral,55to61,MW,Certain
Well,Agree,Often,Neutral,75up,NE,Probably
Somewhat,Agree,Always,Disagree,35to44,NE,Certain
Well,Agree,Sometimes,Neutral,55to61,South,Certain
Somewhat,Agree,Always,Agree,25to34,W,Probably
Somewhat,Disagree,Always,Agree,75up,MW,Probably
Little,StronglyAgree,Sometimes,Neutral,45to54,NE,Certain
Completely,Agree,Always,Agree,18to24,NE,Certain
Well,Neither,Seldom,Disagree,45to54,South,CouldNot
Well,Agree,Always,Disagree,75up,MW,Certain
Somewhat,Agree,NAorNever,Disagree,25to34,W,Certain
Somewhat,Agree,Always,Disagree,45to54,South,Certain
Somewhat,Neither,Always,Neutral,75up,NE,Probably
Well,Agree,Always,Neutral,70to74,W,Certain
Somewhat,Neither,Always,Neutral,25to34,W,DontKnow
Well,Agree,Sometimes,Neutral,25to34,MW,DontKnow
Somewhat,Agree,Often,Disagree,35to44,South,Certain
Completely,Agree,Always,Agree,75up,South,Certain
Well,StronglyAgree,Always,Agree,25to34,MW,Certain
Somewhat,Agree,Sometimes,Agree,35to44,W,Certain
Well,StronglyAgree,Sometimes,Agree,18to24,South,Certain
Somewhat,Agree,Always,Agree,45to54,MW,Certain
Somewhat,Neither,Sometimes,Disagree,25to34,W,Probably
Well,StronglyAgree,Always,Disagree,45to54,South,Certain
Completely,Agree,NAorNever,Agree,75up,South,Certain
Completely,Neither,Sometimes,Agree,25to34,MW,Probably
Somewhat,Agree,Seldom,Neutral,35to44,NE,Probably
Well,Agree,Often,Neutral,55to61,W,Certain
Somewhat,Agree,NAorNever,Neutral,62to69,W,Certain
Somewhat,Agree,Sometimes,Agree,25to34,MW,CouldNot
Little,Neither,Always,Neutral,45to54,NE,CouldNot
Completely,Neither,NAorNever,NoWay,62to69,W,Certain
Well,StronglyAgree,Always,Disagree,25to34,South,Certain
Completely,StronglyAgree,Always,Disagree,18to24,South,Certain
Somewhat,StronglyAgree,Seldom,Agree,25to34,MW,Probably
Somewhat,Neither,Always,Agree,25to34,MW,Certain
Well,Neither,NAorNever,Agree,35to44,MW,Certain
Somewhat,Agree,Always,Neutral,62to69,W,Certain
Completely,Agree,Always,Neutral,18to24,NE,ProbablyNot
Somewhat,Neither,Seldom,NoWay,45to54,MW,Certain
Somewhat,Disagree,Always,Agree,62to69,NE,Certain
Completely,Neither,Always,Absolutely,35to44,South,Probably
Well,Agree,Sometimes,Agree,70to74,South,Probably
Little,Disagree,Often,Disagree,35to44,W,Probably
Somewhat,Neither,Always,Disagree,45to54,NE,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,South,CouldNot
Little,Agree,NAorNever,Agree,45to54,NE,Probably
Somewhat,Agree,Often,NoWay,25to34,South,Certain
Completely,Agree,Often,Agree,25to34,W,Certain
Well,Agree,Seldom,Disagree,18to24,W,Certain
Somewhat,StronglyAgree,NAorNever,Agree,62to69,South,Certain
Well,StronglyAgree,Always,Disagree,55to61,W,Certain
Well,Agree,NAorNever,Disagree,18to24,W,CouldNot
Completely,Agree,Always,Neutral,25to34,NE,Certain
Somewhat,Neither,Sometimes,Absolutely,35to44,NE,Probably
Completely,StronglyAgree,Always,NoWay,62to69,South,Certain
Completely,StronglyAgree,Always,Agree,70to74,W,Certain
Well,Neither,Always,Neutral,35to44,South,Certain
Completely,Agree,Always,Neutral,55to61,MW,Certain
Somewhat,Neither,Sometimes,Neutral,45to54,W,Certain
Somewhat,Agree,Sometimes,Neutral,35to44,MW,Certain
Somewhat,Agree,Always,Agree,25to34,MW,Certain
Completely,Agree,Seldom,Neutral,45to54,South,Certain
Somewhat,Agree,Always,Agree,35to44,South,Probably
Well,Neither,NAorNever,Neutral,45to54,South,Probably
Well,Agree,NAorNever,Disagree,45to54,NE,Certain
Well,Neither,Always,Disagree,45to54,MW,Certain
Well,StronglyAgree,Always,Absolutely,62to69,South,Certain
Somewhat,Agree,Always,Neutral,55to61,MW,Certain
Somewhat,StronglyAgree,Always,Agree,75up,South,Certain
Somewhat,Neither,Always,Disagree,55to61,South,Certain
Little,Agree,Always,NoWay,18to24,MW,Certain
Little,Neither,Seldom,Neutral,45to54,South,ProbablyNot
Not,Agree,Seldom,Neutral,55to61,W,CouldNot
Well,Agree,NAorNever,Neutral,45to54,South,DontKnow
Somewhat,Agree,NAorNever,Neutral,35to44,W,ProbablyNot
Somewhat,Neither,Always,Agree,45to54,NE,Certain
Well,Agree,Always,Disagree,75up,MW,Certain
Somewhat,Agree,Often,NA,35to44,W,NA
Somewhat,Agree,Always,Neutral,75up,MW,CouldNot
Somewhat,Neither,Always,Neutral,62to69,South,Certain
Somewhat,Agree,NAorNever,Neutral,35to44,South,CouldNot
Well,Agree,Sometimes,Agree,25to34,South,Probably
Somewhat,Neither,Seldom,Neutral,25to34,W,CouldNot
Somewhat,Agree,Often,Agree,25to34,MW,Certain
Somewhat,Neither,NAorNever,Disagree,35to44,MW,DontKnow
Little,Agree,Often,Neutral,62to69,MW,Certain
Well,StronglyAgree,NAorNever,Agree,45to54,MW,CouldNot
Well,Agree,Always,Agree,62to69,NE,Certain
Well,Neither,Always,Neutral,55to61,South,Certain
Somewhat,Agree,Seldom,Agree,62to69,South,Certain
Well,Agree,Always,Disagree,45to54,NE,Certain
Somewhat,Neither,Sometimes,Disagree,45to54,W,Certain
Well,Agree,Always,Absolutely,45to54,South,Certain
Somewhat,StronglyAgree,Seldom,Neutral,35to44,MW,ProbablyNot
Completely,StronglyAgree,Always,Neutral,55to61,NE,Certain
Little,Agree,Often,Agree,45to54,NE,Probably
Well,StronglyAgree,Always,Neutral,62to69,South,Certain
Little,Disagree,Seldom,Agree,75up,W,Certain
Well,Agree,Often,Agree,35to44,NE,Probably
Well,Neither,Always,Neutral,75up,South,Certain
Well,Agree,Always,Disagree,45to54,MW,Certain
Well,Agree,Often,Absolutely,25to34,South,Probably
Not,Disagree,NAorNever,Neutral,55to61,South,Certain
Somewhat,Agree,Often,Agree,62to69,NE,Certain
Somewhat,Neither,Sometimes,Neutral,70to74,W,Probably
Completely,Agree,Always,Agree,70to74,MW,Certain
Not,Disagree,Sometimes,Disagree,70to74,W,Certain
Well,Neither,Always,Neutral,70to74,South,Certain
Well,Agree,NAorNever,Neutral,35to44,South,DontKnow
Little,Neither,Sometimes,Neutral,62to69,MW,Certain
Not,Neither,Seldom,Neutral,62to69,W,CouldNot
Somewhat,Neither,NAorNever,Agree,25to34,W,CouldNot
Well,Agree,NAorNever,Agree,35to44,W,Probably
Little,Agree,Often,Agree,70to74,MW,CouldNot
Well,Agree,NAorNever,Disagree,75up,W,CouldNot
Well,Agree,Often,Neutral,62to69,NE,Certain
Somewhat,Agree,Sometimes,Disagree,75up,South,Certain
Somewhat,Neither,Sometimes,Neutral,35to44,NE,DontKnow
Somewhat,Neither,Seldom,Neutral,25to34,MW,DontKnow
Well,Agree,Always,Neutral,62to69,South,Certain
Completely,Agree,Often,Absolutely,45to54,South,Certain
Not,Neither,Always,Disagree,45to54,NE,Certain
Somewhat,Agree,Seldom,Neutral,45to54,MW,Probably
Well,Agree,Always,Neutral,75up,South,Certain
Well,Neither,Seldom,Neutral,45to54,MW,Probably
Completely,Agree,Always,NoWay,75up,W,Certain
Completely,Agree,Always,Agree,25to34,MW,CouldNot
Completely,StronglyAgree,Always,Neutral,70to74,South,Certain
Well,Agree,Always,Neutral,25to34,MW,Certain
Well,Neither,Always,Neutral,62to69,MW,Certain
Little,StronglyAgree,Always,Disagree,75up,MW,Certain
Well,Agree,Often,Neutral,55to61,W,Probably
Somewhat,Agree,Always,Neutral,45to54,South,Certain
Completely,Neither,Always,Neutral,75up,South,Certain
Little,Agree,Often,Disagree,70to74,South,Certain
Well,Agree,NAorNever,Agree,25to34,W,CouldNot
Well,Agree,Always,NoWay,55to61,South,Certain
Little,StronglyAgree,Often,Disagree,25to34,W,Certain
Somewhat,Agree,Always,Neutral,62to69,MW,Probably
Completely,Agree,Often,Agree,62to69,South,Certain
Somewhat,Agree,Always,Neutral,25to34,W,Probably
Well,Neither,Always,Disagree,75up,W,Certain
Somewhat,StronglyAgree,Sometimes,NoWay,35to44,South,ProbablyNot
Somewhat,Agree,Seldom,Agree,55to61,MW,Certain
Completely,Neither,Always,Disagree,35to44,MW,Certain
Little,Agree,Sometimes,Disagree,45to54,South,Probably
Little,Agree,Always,Disagree,70to74,NE,Certain
Well,Agree,Always,Agree,45to54,MW,Certain
Somewhat,Neither,Always,Neutral,75up,W,Certain
Little,Agree,Always,Neutral,45to54,W,Certain
Completely,StronglyAgree,Often,Disagree,70to74,MW,Certain
Somewhat,Agree,Always,Agree,55to61,W,Certain
Not,Disagree,Always,Neutral,45to54,South,Certain
Little,Disagree,Always,Neutral,45to54,MW,Certain
Well,Agree,Always,Agree,62to69,South,Certain
Somewhat,Agree,Always,Neutral,55to61,South,ProbablyNot
Somewhat,Agree,Always,Neutral,75up,NE,Certain
Somewhat,Agree,Seldom,Agree,45to54,NE,Certain
Completely,StronglyAgree,Always,NoWay,35to44,W,Certain
Somewhat,Agree,Often,Agree,25to34,NE,Probably
Somewhat,Agree,Always,Disagree,35to44,South,Certain
Somewhat,Agree,Sometimes,NoWay,35to44,NE,Certain
Well,Disagree,Always,Neutral,55to61,MW,Certain
Somewhat,Agree,Always,Disagree,62to69,W,Certain
Completely,StronglyAgree,Always,NoWay,45to54,W,Certain
Somewhat,Neither,Seldom,Agree,25to34,W,Probably
Well,Neither,Always,Disagree,62to69,MW,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,South,DontKnow
Well,Agree,Always,Agree,70to74,South,Certain
Little,Neither,NAorNever,NA,62to69,W,CouldNot
Somewhat,Neither,Always,Agree,25to34,MW,Certain
Completely,Agree,Always,Agree,75up,MW,Certain
Well,StronglyDisagree,NAorNever,Disagree,25to34,MW,CouldNot
Well,Disagree,NAorNever,Absolutely,25to34,South,Probably
Somewhat,StronglyDisagree,Always,Absolutely,25to34,W,ProbablyNot
Somewhat,Neither,Sometimes,NA,25to34,MW,DontKnow
Not,Disagree,Seldom,Neutral,62to69,South,CouldNot
Well,Neither,NAorNever,Neutral,75up,South,Certain
Well,Neither,Sometimes,Neutral,35to44,W,Certain
Completely,StronglyAgree,Often,Neutral,62to69,NE,Certain
Somewhat,Agree,Seldom,Neutral,25to34,South,Certain
Somewhat,Agree,Sometimes,Neutral,62to69,MW,Certain
Little,Agree,Often,Neutral,45to54,NE,Probably
Somewhat,Agree,Always,Disagree,45to54,NE,Certain
Well,Agree,Often,Disagree,55to61,W,Certain
Well,Agree,Always,Agree,25to34,W,Certain
Well,Neither,Always,Agree,45to54,MW,Certain
Completely,Agree,Seldom,Disagree,25to34,W,CouldNot
Well,Agree,Sometimes,Agree,45to54,NE,Certain
Well,Agree,Always,Agree,55to61,South,Certain
Completely,Disagree,Always,NoWay,55to61,NE,Certain
Completely,Agree,Always,NoWay,70to74,MW,Certain
Well,Agree,Sometimes,Absolutely,45to54,W,Probably
Somewhat,Agree,NAorNever,Neutral,45to54,MW,Certain
Well,Disagree,Always,Disagree,55to61,MW,Certain
Well,StronglyAgree,Always,Agree,35to44,W,Certain
Not,Agree,NAorNever,Neutral,62to69,W,CouldNot
Completely,Agree,Always,NA,45to54,South,Certain
Completely,Agree,Always,Disagree,75up,South,Certain
Somewhat,Neither,Seldom,Disagree,75up,South,DontKnow
Somewhat,Neither,NAorNever,Disagree,45to54,MW,ProbablyNot
Somewhat,Neither,Always,Agree,70to74,MW,Certain
Well,Agree,Always,Neutral,25to34,W,Certain
Somewhat,Agree,Sometimes,Agree,25to34,W,Certain
Well,Agree,Always,Agree,62to69,MW,Certain
Somewhat,Agree,Sometimes,NoWay,45to54,South,Probably
Little,Agree,Seldom,Disagree,55to61,NE,Certain
Well,Agree,Always,Disagree,25to34,South,Certain
Somewhat,Agree,Always,Agree,45to54,NE,Probably
Well,Agree,Always,Neutral,25to34,MW,Certain
Little,Neither,Sometimes,Neutral,62to69,MW,Certain
Well,Agree,Sometimes,Disagree,18to24,NE,Probably
Completely,StronglyAgree,Always,Neutral,62to69,South,Certain
Well,StronglyAgree,Always,Neutral,18to24,NE,Probably
Somewhat,Disagree,NAorNever,NoWay,45to54,NE,CouldNot
Well,Disagree,Sometimes,Agree,62to69,MW,Probably
Well,Agree,Seldom,NoWay,55to61,MW,Probably
Little,Agree,NAorNever,Agree,45to54,South,CouldNot
Little,Agree,Always,Neutral,45to54,W,Certain
Well,Agree,Always,Neutral,62to69,South,Certain
Little,Disagree,NAorNever,Agree,45to54,MW,ProbablyNot
Somewhat,Agree,Always,Disagree,75up,MW,Certain
Completely,Agree,Always,Agree,35to44,W,Certain
Somewhat,Neither,Always,Agree,75up,NE,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,MW,DontKnow
Somewhat,Agree,Always,Disagree,35to44,MW,Certain
Somewhat,StronglyAgree,Always,Neutral,18to24,W,Probably
Completely,StronglyAgree,Always,Disagree,35to44,W,Certain
Completely,Agree,Always,Disagree,62to69,MW,Certain
Well,Disagree,Seldom,Agree,35to44,NE,Probably
Little,Neither,Always,Disagree,18to24,South,Probably
Somewhat,Disagree,NAorNever,Agree,70to74,W,CouldNot
Somewhat,Neither,NAorNever,Neutral,25to34,South,DontKnow
Well,Agree,Always,Disagree,25to34,South,Certain
Not,Neither,Seldom,Agree,62to69,W,Certain
Completely,Agree,Always,Disagree,70to74,W,Certain
Well,Agree,Always,Agree,25to34,W,CouldNot
Well,Agree,NAorNever,Neutral,25to34,W,Certain
Well,Agree,Often,Agree,62to69,W,Certain
Somewhat,Neither,NAorNever,Neutral,18to24,South,DontKnow
Completely,StronglyAgree,Sometimes,Agree,62to69,South,Certain
Well,Neither,Seldom,Disagree,55to61,W,Probably
Well,Agree,Sometimes,Neutral,45to54,MW,ProbablyNot
Well,StronglyAgree,Always,Disagree,25to34,South,Probably
Somewhat,Agree,Seldom,Neutral,45to54,South,Certain
Well,Neither,Often,Disagree,62to69,MW,Certain
Somewhat,Neither,Always,Disagree,35to44,South,Certain
Little,Disagree,NAorNever,Agree,18to24,South,Certain
Well,Agree,Sometimes,Disagree,55to61,W,Certain
Somewhat,Neither,Always,Agree,75up,South,Certain
Somewhat,Agree,Always,Disagree,62to69,NE,Certain
Completely,Agree,Always,Agree,75up,South,Certain
Completely,Agree,Always,Agree,62to69,South,Certain
Somewhat,Agree,NAorNever,Agree,75up,W,Probably
Well,Agree,Often,Neutral,45to54,W,Certain
Somewhat,Agree,NAorNever,Neutral,35to44,South,ProbablyNot
Well,Agree,Always,Disagree,45to54,South,Certain
Somewhat,Disagree,Always,Disagree,35to44,W,Certain
Little,Disagree,NAorNever,Neutral,25to34,South,ProbablyNot
Somewhat,Neither,NAorNever,Disagree,62to69,South,CouldNot
Well,Agree,Always,Disagree,25to34,MW,Certain
Well,StronglyAgree,NAorNever,Agree,35to44,MW,ProbablyNot
Somewhat,Neither,NAorNever,Agree,18to24,South,Certain
Well,Agree,Sometimes,Agree,35to44,South,CouldNot
Well,Neither,Sometimes,Neutral,75up,W,Probably
Well,Agree,Always,Neutral,35to44,South,Certain
Little,Neither,NAorNever,Neutral,18to24,South,CouldNot
Somewhat,Disagree,NAorNever,Agree,35to44,South,Certain
